date,day.of.week,car.count,weather,cloud.indicator
2010-01-01,Friday,101,0.1,clear
2010-01-02,Saturday,34,0.2,cloudy
2010-01-03,Sunday,113,0.4,clear
2010-01-04,Monday,5,0.6,cloudy
2010-01-05,Tuesday,124,0.1,clear
2010-01-06,Wednesday,104,-0.1,clear
2010-01-07,Thursday,81,-1,clear
2010-01-08,Friday,67,-0.3,cloudy
2010-01-09,Saturday,89,0.2,cloudy
2010-01-10,Sunday,132,1.4,clear
2010-01-11,Monday,105,-0.1,clear
2010-01-12,Tuesday,94,-0.8,clear
2010-01-13,Wednesday,99,-0.5,clear
2010-01-14,Thursday,24,0.6,cloudy
2010-01-15,Friday,98,-1.9,clear
2010-01-16,Saturday,31,-0.6,cloudy
2010-01-17,Sunday,69,0,cloudy
2010-01-18,Monday,96,1.4,clear
2010-01-19,Tuesday,94,-0.9,clear
2010-01-20,Wednesday,91,0,clear
2010-01-21,Thursday,42,0.2,cloudy
2010-01-22,Friday,101,0.5,clear
2010-01-23,Saturday,123,1.7,clear
2010-01-24,Sunday,123,-1,clear
2010-01-25,Monday,107,0.4,clear
2010-01-26,Tuesday,93,-1.5,clear
2010-01-27,Wednesday,118,1.2,clear
2010-01-28,Thursday,70,0,cloudy
2010-01-29,Friday,91,-1,clear
2010-01-30,Saturday,124,0.2,clear
2010-01-31,Sunday,105,-1,clear
2010-02-01,Monday,64,0.7,cloudy
2010-02-02,Tuesday,90,0.8,clear
2010-02-03,Wednesday,84,-0.8,clear
2010-02-04,Thursday,101,-1.3,cloudy
2010-02-05,Friday,70,-0.4,cloudy
2010-02-06,Saturday,103,-0.1,clear
2010-02-07,Sunday,89,-0.3,cloudy
2010-02-08,Monday,98,0.2,clear
2010-02-09,Tuesday,89,0.4,cloudy
2010-02-10,Wednesday,57,0.9,cloudy
2010-02-11,Thursday,63,0.4,cloudy
2010-02-12,Friday,107,-0.1,cloudy
2010-02-13,Saturday,21,-0.1,cloudy
2010-02-14,Sunday,41,-0.3,cloudy
2010-02-15,Monday,97,-0.1,clear
2010-02-16,Tuesday,107,-1.9,clear
2010-02-17,Wednesday,4,0.3,cloudy
2010-02-18,Thursday,119,-0.5,clear
2010-02-19,Friday,93,-0.1,clear
2010-02-20,Saturday,73,0.5,cloudy
2010-02-21,Sunday,100,-1.2,cloudy
2010-02-22,Monday,23,-0.9,cloudy
2010-02-23,Tuesday,76,0.3,cloudy
2010-02-24,Wednesday,148,0,clear
2010-02-25,Thursday,103,1.3,clear
2010-02-26,Friday,106,-0.9,clear
2010-02-27,Saturday,116,0,cloudy
2010-02-28,Sunday,112,1.2,clear
2010-03-01,Monday,108,-0.1,cloudy
2010-03-02,Tuesday,7,0.3,cloudy
2010-03-03,Wednesday,50,-0.5,cloudy
2010-03-04,Thursday,98,3.1,clear
2010-03-05,Friday,64,0,cloudy
2010-03-06,Saturday,78,-1.2,cloudy
2010-03-07,Sunday,113,0,clear
2010-03-08,Monday,46,0.5,cloudy
2010-03-09,Tuesday,126,0.2,clear
2010-03-10,Wednesday,120,0.3,clear
2010-03-11,Thursday,36,-0.7,cloudy
2010-03-12,Friday,23,0,cloudy
2010-03-13,Saturday,18,0.1,cloudy
2010-03-14,Sunday,55,0.8,cloudy
2010-03-15,Monday,117,1.8,clear
2010-03-16,Tuesday,124,0.1,clear
2010-03-17,Wednesday,107,0.9,clear
2010-03-18,Thursday,117,1.3,clear
2010-03-19,Friday,99,0,cloudy
2010-03-20,Saturday,22,1.4,cloudy
2010-03-21,Sunday,94,1.5,cloudy
2010-03-22,Monday,137,-0.2,clear
2010-03-23,Tuesday,2,-1.9,cloudy
2010-03-24,Wednesday,105,-0.8,clear
2010-03-25,Thursday,98,-1.4,clear
2010-03-26,Friday,104,-1,clear
2010-03-27,Saturday,102,1.4,clear
2010-03-28,Sunday,98,-0.9,cloudy
2010-03-29,Monday,44,0,cloudy
2010-03-30,Tuesday,52,-1.9,cloudy
2010-03-31,Wednesday,108,0.8,clear
2010-04-01,Thursday,99,-0.3,clear
2010-04-02,Friday,105,0.9,clear
2010-04-03,Saturday,90,0.4,cloudy
2010-04-04,Sunday,124,-1.4,clear
2010-04-05,Monday,41,-0.6,cloudy
2010-04-06,Tuesday,43,0.8,cloudy
2010-04-07,Wednesday,37,2.3,cloudy
2010-04-08,Thursday,8,0.2,cloudy
2010-04-09,Friday,119,0.1,cloudy
2010-04-10,Saturday,112,0.3,clear
2010-04-11,Sunday,125,0.4,clear
2010-04-12,Monday,111,0.2,clear
2010-04-13,Tuesday,82,0.9,cloudy
2010-04-14,Wednesday,12,-1.2,cloudy
2010-04-15,Thursday,9,-0.7,cloudy
2010-04-16,Friday,42,-1.2,cloudy
2010-04-17,Saturday,144,-2.2,clear
2010-04-18,Sunday,127,-0.1,clear
2010-04-19,Monday,101,0.8,clear
2010-04-20,Tuesday,94,-0.1,clear
2010-04-21,Wednesday,117,-1.5,clear
2010-04-22,Thursday,84,0.4,cloudy
2010-04-23,Friday,129,-1.6,clear
2010-04-24,Saturday,121,-0.5,clear
2010-04-25,Sunday,115,-0.6,clear
2010-04-26,Monday,121,0,clear
2010-04-27,Tuesday,103,0,clear
2010-04-28,Wednesday,105,-0.7,clear
2010-04-29,Thursday,147,-0.2,clear
2010-04-30,Friday,109,-0.4,clear
2010-05-01,Saturday,117,-0.6,clear
2010-05-02,Sunday,107,0.2,clear
2010-05-03,Monday,153,1,clear
2010-05-04,Tuesday,111,0.4,clear
2010-05-05,Wednesday,131,1.4,clear
2010-05-06,Thursday,98,-0.9,cloudy
2010-05-07,Friday,109,1.4,clear
2010-05-08,Saturday,127,0.3,clear
2010-05-09,Sunday,114,-1,clear
2010-05-10,Monday,44,0.8,cloudy
2010-05-11,Tuesday,107,1.4,cloudy
2010-05-12,Wednesday,128,-0.2,clear
2010-05-13,Thursday,109,-0.5,clear
2010-05-14,Friday,104,0.7,clear
2010-05-15,Saturday,80,0.5,cloudy
2010-05-16,Sunday,140,1.3,clear
2010-05-17,Monday,68,-0.8,cloudy
2010-05-18,Tuesday,120,-1.6,clear
2010-05-19,Wednesday,104,0.4,clear
2010-05-20,Thursday,99,0.1,cloudy
2010-05-21,Friday,142,1.1,clear
2010-05-22,Saturday,139,0.2,clear
2010-05-23,Sunday,117,-0.7,clear
2010-05-24,Monday,135,-0.7,clear
2010-05-25,Tuesday,115,-1,clear
2010-05-26,Wednesday,69,0.3,cloudy
2010-05-27,Thursday,113,0.3,clear
2010-05-28,Friday,134,1.4,clear
2010-05-29,Saturday,101,0.4,cloudy
2010-05-30,Sunday,144,1.1,clear
2010-05-31,Monday,142,0.3,clear
2010-06-01,Tuesday,116,-0.7,clear
2010-06-02,Wednesday,154,-0.4,clear
2010-06-03,Thursday,123,0,cloudy
2010-06-04,Friday,76,0.6,cloudy
2010-06-05,Saturday,140,0.8,clear
2010-06-06,Sunday,121,0.4,clear
2010-06-07,Monday,120,0.1,cloudy
2010-06-08,Tuesday,107,-0.8,clear
2010-06-09,Wednesday,145,-0.1,clear
2010-06-10,Thursday,112,0.8,cloudy
2010-06-11,Friday,99,0.4,cloudy
2010-06-12,Saturday,121,1.1,clear
2010-06-13,Sunday,116,-0.1,clear
2010-06-14,Monday,145,-1.7,clear
2010-06-15,Tuesday,2,1.1,cloudy
2010-06-16,Wednesday,39,0,cloudy
2010-06-17,Thursday,119,0.7,clear
2010-06-18,Friday,128,1.3,clear
2010-06-19,Saturday,128,-0.8,clear
2010-06-20,Sunday,166,-0.9,clear
2010-06-21,Monday,123,0,clear
2010-06-22,Tuesday,119,-0.8,clear
2010-06-23,Wednesday,105,-0.5,clear
2010-06-24,Thursday,159,-0.4,clear
2010-06-25,Friday,116,-0.1,cloudy
2010-06-26,Saturday,126,0.7,clear
2010-06-27,Sunday,140,-1,clear
2010-06-28,Monday,119,-0.5,clear
2010-06-29,Tuesday,106,0.6,cloudy
2010-06-30,Wednesday,114,0.3,clear
2010-07-01,Thursday,128,0.6,clear
2010-07-02,Friday,32,-0.4,cloudy
2010-07-03,Saturday,107,-1.7,cloudy
2010-07-04,Sunday,95,0.7,cloudy
2010-07-05,Monday,119,0.4,clear
2010-07-06,Tuesday,130,0,clear
2010-07-07,Wednesday,110,0,cloudy
2010-07-08,Thursday,130,-0.3,clear
2010-07-09,Friday,126,-0.6,clear
2010-07-10,Saturday,121,-0.6,clear
2010-07-11,Sunday,106,0.8,cloudy
2010-07-12,Monday,38,-1.2,cloudy
2010-07-13,Tuesday,5,-0.3,cloudy
2010-07-14,Wednesday,27,-0.1,cloudy
2010-07-15,Thursday,79,1.8,cloudy
2010-07-16,Friday,118,-0.7,clear
2010-07-17,Saturday,150,-1.8,cloudy
